Sub_ID,Sex,Age_Ex,Age_Yrs,Script,WhoLied
1,0,9.119444444,9,3,1
2,1,7.002777778,7,3,1
3,0,4.797222222,4,3,1
4,0,7,7,3,1
5,1,7.338888889,7,3,1
6,1,8.444444444,8,3,1
7,1,7.733333333,7,3,1
8,1,9.519444444,9,3,0
9,0,4.541666667,4,3,1
10,0,8.880555556,8,3,1
11,1,4.280555556,4,3,0
12,1,5.213888889,5,3,1
13,0,4.397222222,4,3,0
14,1,9.191666667,9,3,1
15,1,7.238888889,7,3,0
16,1,6.108333333,6,3,0
17,0,4.588888889,4,3,0
18,1,5.333333333,5,3,1
19,1,5.838888889,5,3,1
20,1,9.908333333,9,3,1
21,1,6.108333333,6,3,0
22,0,6.122222222,6,3,1
23,1,6.922222222,6,3,1
24,0,8.036111111,8,3,1
25,0,6.161111111,6,3,1
26,0,7.355555556,7,3,1
27,0,5.863888889,5,3,1
28,1,4.372222222,4,3,0
29,0,7.486111111,7,3,0
30,0,6.405555556,6,3,0
31,1,4.041666667,4,3,1
32,1,4.144444444,4,3,0
33,0,5.161111111,5,3,1
34,1,5.022222222,5,3,1
35,1,6.991666667,6,3,1
36,1,4.847222222,4,3,0
37,1,7.430555556,7,3,1
38,1,9.838888889,9,3,1
39,1,4.583333333,4,3,1
40,1,5.822222222,5,3,1
41,0,4.936111111,4,3,0
42,0,8.933333333,8,3,1
43,0,8.958333333,8,3,1
44,0,4.85,4,3,0
45,1,9.172222222,9,3,1
46,0,9.213888889,9,3,1
47,1,5.955555556,5,3,0
48,1,9.658333333,9,3,1
49,0,8.472222222,8,3,1
50,0,9.711111111,9,3,1
51,0,8.197222222,8,3,1
52,0,9.275,9,3,1
53,1,6.822222222,6,4,1
54,0,9.016666667,9,4,0
55,1,5.963888889,5,4,0
56,1,4.075,4,4,1
57,1,8.308333333,8,4,1
58,0,8.666666667,8,4,1
59,0,6.325,6,4,0
60,0,7.338888889,7,4,1
61,0,5,5,4,1
62,1,6.080555556,6,4,0
63,1,8.469444444,8,4,1
64,1,5.875,5,4,0
65,0,6.091666667,6,4,0
66,0,9.402777778,9,4,1
67,1,7.205555556,7,4,0
68,1,6.591666667,6,4,0
69,1,5.083333333,5,4,0
70,1,5.261111111,5,4,0
71,0,6.333333333,6,4,1
72,1,6.466666667,6,4,0
73,1,6.161111111,6,4,0
74,1,6.388888889,6,4,0
75,1,9.283333333,9,4,1
76,1,9.694444444,9,4,1
77,0,6.083333333,6,4,0
78,1,4.830555556,4,4,1
79,1,6.122222222,6,4,1
80,1,7.602777778,7,4,1
81,1,4.930555556,4,4,1
82,1,7.597222222,7,4,1
83,1,4.172222222,4,4,0
84,1,8.341666667,8,4,0
85,1,9.25,9,4,0
86,0,7.852777778,7,4,1
87,0,7.283333333,7,4,1
88,0,5.636111111,5,4,1
89,1,8.252777778,8,4,1
90,0,9.461111111,9,4,0
91,1,8.327777778,8,4,1
92,0,5.425,5,4,1
93,1,5.841666667,5,4,0
94,1,8.013888889,8,4,1
95,0,8.847222222,8,4,1
96,1,8.225,8,4,1
