study_order,child_gender,child_age_yrs,like_better,lap,comp_check_1,comp_check_2,lah,Condition,new_ID,composite_score,exact_age
1,Male,4,Intrinsic,Intrinsic,Correct,Incorrect,Reputational,IntrinsicFirst,1,2,4.866666667
1,Male,5,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,2,3,5.263888889
1,Female,6,Intrinsic,Intrinsic,Correct,Correct,Reputational,ReputationalFirst,3,2,6.3
1,Female,6,Intrinsic,Intrinsic,Correct,Correct,Intrinsic,IntrinsicFirst,4,1,6.3
2,Male,9,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,5,3,9.008333333
2,Female,7,Reputational,Intrinsic,Correct,Correct,Reputational,ReputationalFirst,6,1,7.547222222
1,Female,8,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,7,3,8.733333333
1,Female,8,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,8,3,8.469444444
1,Female,6,Intrinsic,Reputational,Correct,Correct,Intrinsic,ReputationalFirst,9,2,6.505555556
2,Female,7,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,10,3,7.827777778
1,Female,7,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,11,3,7.180555556
2,Male,8,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,12,3,8.994444444
4,Female,8,Reputational,Intrinsic,Correct,Correct,Reputational,ReputationalFirst,13,1,8.833333333
1,Female,8,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,14,3,8.452777778
2,Female,8,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,15,3,8.347222222
2,Male,6,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,16,3,6.447222222
1,Male,4,Reputational,Intrinsic,Correct,Correct,Intrinsic,ReputationalFirst,17,0,4.644444444
1,Male,9,Intrinsic,Reputational,Incorrect,Correct,Reputational,IntrinsicFirst,18,3,9.925
1,Male,7,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,19,3,7.427777778
1,Female,5,Intrinsic,Reputational,Correct,Correct,Intrinsic,IntrinsicFirst,20,2,5.872222222
1,Female,4,Intrinsic,Reputational,Incorrect,Correct,Intrinsic,IntrinsicFirst,21,2,4.511111111
1,Female,7,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,22,3,7.066666667
1,Male,6,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,23,3,6.458333333
1,Female,8,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,24,3,8.875
1,Male,4,Reputational,Reputational,Correct,Correct,Intrinsic,ReputationalFirst,25,1,4.338888889
1,Female,6,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,26,3,6.525
1,Male,5,Intrinsic,Reputational,Incorrect,Correct,Reputational,IntrinsicFirst,27,3,5.105555556
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,28,3,9.075
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,29,3,9.083333333
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,30,3,9.736111111
1,Male,7,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,31,3,7.566666667
1,Male,5,Intrinsic,Reputational,Incorrect,Incorrect,Reputational,ReputationalFirst,32,3,5.122222222
1,Female,4,Reputational,Intrinsic,Correct,Correct,Intrinsic,IntrinsicFirst,33,0,4.311111111
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,34,3,9.797222222
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,35,3,9.797222222
1,Female,4,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,36,3,4.35
3,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,37,3,9.488888889
1,Male,9,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,38,3,9.083333333
1,Female,5,Reputational,Reputational,Correct,Correct,Intrinsic,ReputationalFirst,39,1,5.080555556
1,Male,7,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,40,3,7.644444444
1,Female,4,Intrinsic,Intrinsic,Incorrect,Correct,Intrinsic,IntrinsicFirst,41,1,4.469444444
1,Male,6,Intrinsic,Intrinsic,Correct,Correct,Reputational,IntrinsicFirst,42,2,6.941666667
1,Male,4,Reputational,Reputational,Correct,Correct,Reputational,ReputationalFirst,43,2,4.75
1,Male,8,Reputational,Reputational,Incorrect,Correct,Reputational,IntrinsicFirst,44,2,8.358333333
1,Female,8,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,45,3,8.491666667
2,Male,6,Reputational,Intrinsic,Correct,Correct,Intrinsic,IntrinsicFirst,46,0,6.4
1,Male,6,Reputational,Intrinsic,Correct,Correct,Intrinsic,ReputationalFirst,47,0,6.397222222
1,Male,9,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,48,3,9.563888889
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,49,3,9.563888889
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,50,3,9.175
1,Female,7,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,51,3,7.011111111
1,Female,7,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,52,3,7
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,53,3,9.022222222
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,54,3,9.022222222
1,Male,8,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,55,3,8.233333333
1,Male,5,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,56,3,5.822222222
1,Male,7,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,57,3,7.647222222
1,Female,4,Reputational,Reputational,Correct,Incorrect,Reputational,ReputationalFirst,58,2,4.186111111
2,Female,6,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,59,3,6.466666667
1,Male,6,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,60,3,6.95
3,Female,6,Reputational,Reputational,Correct,Correct,Reputational,ReputationalFirst,61,2,6.283333333
3,Male,7,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,62,3,7.352777778
1,Female,9,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,63,3,9.047222222
1,Female,4,Intrinsic,Intrinsic,Correct,Incorrect,Intrinsic,ReputationalFirst,64,1,4.352777778
1,Female,5,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,65,3,5.305555556
1,Female,8,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,66,3,8.930555556
1,Female,5,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,67,3,5.85
1,Male,6,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,68,3,6.247222222
1,Female,7,Reputational,Intrinsic,Correct,Correct,Reputational,IntrinsicFirst,69,1,7.966666667
1,Male,4,Reputational,Intrinsic,Correct,Correct,Reputational,IntrinsicFirst,70,1,4.558333333
1,Female,4,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,71,3,4.969444444
1,Male,7,Reputational,Intrinsic,Correct,Correct,Reputational,IntrinsicFirst,72,1,7.297222222
1,Male,4,Reputational,Intrinsic,Correct,Correct,Intrinsic,ReputationalFirst,73,0,4.808333333
1,Male,5,Intrinsic,Intrinsic,Correct,Correct,Intrinsic,IntrinsicFirst,74,1,5.763888889
2,Male,5,Reputational,Reputational,Correct,Correct,Reputational,IntrinsicFirst,75,2,5.047222222
1,Female,6,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,76,3,6.077777778
1,Male,8,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,77,3,8.072222222
1,Male,7,Intrinsic,Reputational,Correct,Incorrect,Reputational,IntrinsicFirst,78,3,7.372222222
1,Male,9,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,79,3,9.233333333
2,Female,6,Intrinsic,Reputational,Correct,Correct,Intrinsic,ReputationalFirst,80,2,6.144444444
1,Female,8,Intrinsic,Reputational,Correct,Correct,Reputational,ReputationalFirst,81,3,8.825
1,Male,8,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,82,3,8.825
2,Male,4,Reputational,Reputational,Correct,Correct,Reputational,ReputationalFirst,83,2,4.697222222
1,Male,8,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,84,3,8.063888889
1,Female,6,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,85,3,6.233333333
1,Male,7,Reputational,Intrinsic,Correct,Correct,Intrinsic,ReputationalFirst,86,0,7.111111111
1,Male,8,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,87,3,8.119444444
2,Male,6,Reputational,Intrinsic,Incorrect,Correct,Reputational,ReputationalFirst,88,1,6.491666667
1,Male,4,Reputational,Reputational,Correct,Correct,Intrinsic,ReputationalFirst,89,1,4.219444444
1,Male,5,Reputational,Reputational,Incorrect,Incorrect,Reputational,ReputationalFirst,90,2,5.302777778
1,Female,5,Intrinsic,Reputational,Correct,Correct,Intrinsic,IntrinsicFirst,91,2,5.691666667
1,Male,4,Intrinsic,Reputational,Correct,Correct,Reputational,IntrinsicFirst,92,3,4.330555556
3,Female,4,Intrinsic,Intrinsic,Correct,Correct,Reputational,ReputationalFirst,93,2,4.166666667
2,Male,4,Reputational,Reputational,Correct,Correct,Reputational,IntrinsicFirst,94,2,4.613888889
1,Female,4,Intrinsic,Intrinsic,Incorrect,Correct,Intrinsic,ReputationalFirst,95,1,4.397222222
2,Male,4,Reputational,Intrinsic,Correct,Correct,Intrinsic,ReputationalFirst,96,0,4.388888889
